0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.030880635414519277e-03,6.191017505057118397e-02,6.569569819472541317e-02,2.547291796197958647e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.040368446325704077e-01,3.199736199057378605e-01,1.095808565311020777e+00,1.024500242168178517e+02
2.791865387678262576e-04,6.195524015794036998e+00,1.363907087349705094e+01,3.985200296393117458e+00
4.993318607655428641e-03,2.089708827336431846e-02,1.060400504154012657e-01,7.383984100759221070e-01
6.825161666670741256e-02,1.472067801243854557e-01,4.921277504651445645e-01,3.969857479919832599e+01
8.530922386471203600e-01,1.086506861182526783e-02,4.358039464506323668e+01,4.619129740849067502e+02
4.476015426339084551e-03,7.925575163946639856e-01,1.168952216217864937e+00,2.759549129225207409e+01
2.628654126192117926e-02,1.836664462146101557e-03,4.701739101062429871e-02,1.221583779332862107e+00
1.581097995335318043e-02,1.561156512894577852e-01,4.326915983443805902e-01,8.252292072282646274e+00
