2.549000000000000155e-01,1.413000000000000089e-01,4.993000000000000216e-01,8.189999999999999503e-01
2.489999999999999991e-01,1.130000000000000032e-01,9.925000000000000488e-01,6.189999999999999947e-01
1.948999999999999899e-01,1.014000000000000040e-01,9.925000000000000488e-01,5.131999999999999895e-01
6.479999999999999649e-02,1.955000000000000071e-01,7.704999999999999627e-01,2.993300000000000072e+00
1.686999999999999889e-01,4.440000000000000197e-02,8.082000000000000295e-01,6.943000000000000282e-01
1.948999999999999899e-01,1.014000000000000040e-01,9.925000000000000488e-01,5.131999999999999895e-01
6.479999999999999649e-02,1.955000000000000071e-01,7.704999999999999627e-01,2.993300000000000072e+00
6.479999999999999649e-02,1.955000000000000071e-01,7.704999999999999627e-01,2.993300000000000072e+00
1.686999999999999889e-01,4.440000000000000197e-02,8.082000000000000295e-01,6.943000000000000282e-01
1.948999999999999899e-01,1.014000000000000040e-01,9.925000000000000488e-01,5.131999999999999895e-01
